MM/DD/YYYY,ID,YEAR,MONTH,DAY,TOBS,TOBS_FLAGS,SNWD,SNWD_FLAGS,MDPR,MDPR_FLAGS,WT01,WT01_FLAGS,TMIN,TMIN_FLAGS,DAPR,DAPR_FLAGS,SNOW,SNOW_FLAGS,PRCP,PRCP_FLAGS,TMAX,TMAX_FLAGS,WT03,WT03_FLAGS
1959-04-29,USC00047767,1959,04,29,144.0,__0,0.0,__0,nan,nan,nan,nan,78.0,__0,nan,nan,0.0,__0,0.0,__0,178.0,__0,nan,nan
1959-04-30,USC00047767,1959,04,30,133.0,__0,0.0,__0,nan,nan,nan,nan,67.0,__0,nan,nan,0.0,__0,0.0,__0,167.0,__0,nan,nan
1959-05-01,USC00047767,1959,05,1,133.0,__0,0.0,__0,nan,nan,nan,nan,67.0,__0,nan,nan,0.0,__0,0.0,__0,178.0,__0,nan,nan
1959-05-02,USC00047767,1959,05,2,122.0,__0,0.0,__0,nan,nan,nan,nan,67.0,__0,nan,nan,0.0,__0,0.0,__0,178.0,__0,nan,nan
1959-05-03,USC00047767,1959,05,3,111.0,__0,0.0,__0,nan,nan,nan,nan,67.0,__0,nan,nan,0.0,__0,0.0,__0,167.0,__0,nan,nan
1959-05-04,USC00047767,1959,05,4,111.0,__0,0.0,__0,nan,nan,nan,nan,78.0,__0,nan,nan,0.0,__0,0.0,__0,178.0,__0,nan,nan
1959-05-05,USC00047767,1959,05,5,144.0,__0,0.0,__0,nan,nan,nan,nan,83.0,__0,nan,nan,0.0,__0,0.0,__0,172.0,__0,nan,nan
1959-05-06,USC00047767,1959,05,6,150.0,__0,0.0,__0,nan,nan,nan,nan,89.0,__0,nan,nan,0.0,__0,0.0,__0,172.0,__0,nan,nan
1959-05-07,USC00047767,1959,05,7,167.0,__0,0.0,__0,nan,nan,nan,nan,78.0,__0,nan,nan,0.0,__0,0.0,__0,250.0,__0,nan,nan
1959-05-08,USC00047767,1959,05,8,139.0,__0,0.0,__0,nan,nan,nan,nan,89.0,__0,nan,nan,0.0,__0,0.0,__0,172.0,__0,nan,nan
1959-05-09,USC00047767,1959,05,9,144.0,__0,0.0,__0,nan,nan,nan,nan,100.0,__0,nan,nan,0.0,__0,0.0,__0,156.0,__0,nan,nan
1959-05-10,USC00047767,1959,05,10,156.0,__0,0.0,__0,nan,nan,nan,nan,78.0,__0,nan,nan,0.0,__0,0.0,__0,183.0,__0,nan,nan
